original tokens,,edited tokens,deleted tokens,added tokens,replaced tokens,sentences,paragraphs,punctuations,word_punctuation,character names,place names,special words
In,,In,,,,BOS,BOP,,,,,
years,,years,,,,,,,,,,
to,,to,,,,,,,,,,
come,,come,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
Harry,,Harry,,,,,,,,ch_n,,
would,,would,,,,,,,,,,
never,,never,,,,,,,,,,
quite,,quite,,,,,,,,,,
remember,,remember,,,,,,,,,,
how,,how,,,,,,,,,,
he,,he,,,,,,,,,,
had,,had,,,,,,,,,,
managed,,managed,,,,,,,,,,
to,,to,,,,,,,,,,
get,,get,,,,,,,,,,
through,,through,,,,,,,,,,
his,,his,,,,,,,,,,
exams,,exams,,,,,,,,,,
when,,when,,,,,,,,,,
he,,he,,,,,,,,,,
half,,half,,,,,,,,,,
expected,,expected,,,,,,,,,,
Voldemort,,Voldemort,,,,,,,,ch_n,,uncommon name
to,,to,,,,,,,,,,
come,,come,,,,,,,,,,
bursting,,bursting,,,,,,,,,,
through,,through,,,,,,,,,,
the,,the,,,,,,,,,,
door,,door,,,,,,,,,,
at,,at,,,,,,,,,,
any,,any,,,,,,,,,,
moment,,moment,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
Yet,,Yet,,,,BOS,,,,,,
the,,the,,,,,,,,,,
days,,days,,,,,,,,,,
crept,,crept,,,,,,,,,,
by,,by,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
and,,and,,,,,,,,,,
there,,there,,,,,,,,,,
could,,could,,,,,,,,,,
be,,be,,,,,,,,,,
no,,no,,,,,,,,,,
doubt,,doubt,,,,,,,,,,
that,,that,,,,,,,,,,
Fluffy,,Fluffy,,,,,,,,ch_n,,
was,,was,,,,,,,,,,
still,,still,,,,,,,,,,
alive,,alive,,,,,,,,,,
and,,and,,,,,,,,,,
well,,well,,,,,,,,,,
behind,,behind,,,,,,,,,,
the,,the,,,,,,,,,,
locked,,locked,,,,,,,,,,
door,,door,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
It,,It,,,,BOS,,,,,,
was,,was,,,,,,,,,,
sweltering,,sweltering,,,,,,,,,,
hot,,hot,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
especially,,especially,,,,,,,,,,
in,,in,,,,,,,,,,
the,,the,,,,,,,,,,
large,,large,,,,,,,,,,
classroom,,classroom,,,,,,,,,,
where,,where,,,,,,,,,,
they,,they,,,,,,,,,,
did,,did,,,,,,,,,,
their,,their,,,,,,,,,,
written,,written,,,,,,,,,,
papers,,papers,,,,,,,,,,
.,,.,,,,EOS,,end period,w_p_pre,,,
They,,They,,,,BOS,,,,,,
had,,had,,,,,,,,,,
been,,been,,,,,,,,,,
given,,given,,,,,,,,,,
special,,special,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
new,,new,,,,,,,,,,
quills,,quills,,,,,,,,,,
for,,for,,,,,,,,,,
the,,the,,,,,,,,,,
exams,,exams,,,,,,,,,,
",",,",",,,,,,comma,w_p_pre,,,
which,,which,,,,,,,,,,
had,,had,,,,,,,,,,
been,,been,,,,,,,,,,
bewitched,,bewitched,,,,,,,,,,
with,,with,,,,,,,,,,
an,,an,,,,,,,,,,
Anticheating,,Anticheating,,,,,,,,,,magic word pair
spell,,spell,,,,,,,,,,magic word pair
.,,.,,,,EOS,,end period,w_p_pre,,,
They,,They,,,,BOS,,,,,,
had,,had,,,,,,,,,,
practical,,practical,,,,,,,,,,
exams,,exams,,,,,,,,,,
