original tokens,,edited tokens,deleted tokens,added tokens,replaced tokens,sentences,paragraphs,punctuations,word_punctuation,character names,place names,special words
’,,him,,,,,,,,,,
t,,over,,,,,,,,,,
feel,,.,,,,EOS,,p,w_p_pre,,,
like,,Neville’s,,,Neville,BOS,,,,,,
a,,,’,,,,,,,,,
very,,,s,,,,,,,,,
good,,jaws,,,,,,,,,,
omen,,were,,,,,,,,,,
.,,jammed,,,,,,,,,,
In,,together,,,,,,,,,,
their,,so,,,,,,,,,,
nervous,,he,,,,,,,,,,
state,,couldn’t,,,couldn,,,,,,,
",",,,’,,,,,,,,,
every,,,t,,,,,,,,,
statue,,speak,,,,,,,,,,
’,,.,,,,EOS,,p,w_p_pre,,,
s,,Only,,,,BOS,,,,,,
shadow,,his,,,,,,,,,,
looked,,eyes,,,,,,,,,,
like,,were,,,,,,,,,,
Filch,,moving,,,,,,,,,,
",",,",",,,,,,p,w_p_pre,,,
every,,looking,,,,,,,,,,
distant,,at,,,,,,,,,,
breath,,them,,,,,,,,,,
of,,in,,,,,,,,,,
wind,,horror,,,honor,,,,,,,
sounded,,.,,,,EOS,,p,w_p_pre,,,
like,,“,,,,BOS,,p,w_p_fol,,,
Peeves,,What’ve,,,What,,,,,,,
swooping,,,’,,,,,,,,,
down,,,ve,,,,,,,,,
on,,you,,,,,,,,,,
them,,done,,,,,,,,,,
.,,to,,,,,,,,,,
At,,him,,,,,,,,,,
the,,?,,,?”,,,p,w_p_pre,,,
foot,,”,,add,,,,p,w_p_pre,,,
of,,Harry,,,Hany,,,,,,,
the,,whispered,,,,,,,,,,
first,,.,,,,EOS,,p,w_p_pre,,,
set,,“,,,,BOS,,p,w_p_fol,,,
of,,It’s,,,It,,,,,,,
stairs,,,’,,,,,,,,,
",",,,s,,,,,,,,,
they,,the,,,,,,,,,,
spotted,,full,,,,,,,,,,
Mrs,,Body-Bind,,,Body,,,,,,,
.,,,-,,,,,,,,,
Norris,,,Bind,,,,,,,,,
skulking,,",",,,",”",,,p,w_p_pre,,,
near,,”,,add,,,,p,w_p_pre,,,
the,,said,,,,,,,,,,
top,,Hermione,,,Hennione,,,,,,,
.,,miserably,,,,,,,,,,
“,,.,,,,EOS,,p,w_p_pre,,,
Oh,,“,,,,BOS,,p,w_p_fol,,,
",",,Oh,,,,,,,,,,
let,,",",,,,,,p,w_p_pre,,,
’,,Neville,,,,,,,,,,
s,,",",,,,,,p,w_p_pre,,,
